Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
fic0sahondur4s--ficohsa009212.repl.co,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
k.13-50-176-130.cprapid.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
dqbeyoyqzu.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ae0n-bamk.co-jp.hubincs.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1
emailverificationupdate78.godaddysites.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
fhreyer.top,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
bafybeibjzzkdzvkfbeiccnq2kg27hfpxb3sxyh6wyze5sechp7e56lpxli.ipfs.nftstorage.link,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
ipfs.io,0,1,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
theblingstores.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1
43.153.207.103,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1
ryue3u8e3ue.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
twprofit.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
pancakeswap-cakedefi.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
tcpw7mwm.dreamwp.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
elofizesiterulet.com,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
flounderbw.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
dbs-bank65.world,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
hotmail-106730.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
